判決字號,情事變更適用,是否為公共工程,施工地點,情事變更的原因,審級,約款類型,公共工程金額類型
最高法院 106 年度台上字第 4 號,是,否,臺中,物價波動,最高法院,物價,
臺灣高等法院 99 年度建上更(一)字第 24 號民事判決,否,否,臺北,物價波動,高等法院,否,
臺灣高等法院 107 年度建上字第 2 號民事判決,否,否,基隆,物價波動,高等法院,否,
,,,,,,,
最高法院 113 年度台上字第 360 號民事判決,是,是,臺中,人為因素,最高法院,否,
"
臺灣高等法院 111 年度建上更一字第 11 號民事判決",是,是,新北,地質因素,高等法院,否,查核金額
,,,,,,,
最高法院82.09.17.八十二年度臺上字第2282號民事判決,是,是,臺北,物價波動,最高法院,物價,巨額採購
最高法院84.03.31.八十四年度臺上字第760號民事判決,否,是,臺北,物價波動,最高法院,物價,巨額採購
最高法院 86.02.27. 八十六年度臺上字第601號民事判決,是,是,臺北,物價波動,最高法院,物價,
最高法院 89.02.25. 八十九年度臺上字第484號民事判決,否,是,新竹,物價波動,最高法院,物價,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
臺灣高等法院 102 年度建上字第 136 號民事判決,否,是,新北,工期展延,高等法院,工期約定,查核金額
最高法院 102 年度台上字第 1927 號民事判決,否,否,南投,物價波動,最高法院,物價,
臺灣臺北地方法院民事判決108年度建字第410號,是,否,高雄,原告未主張,地方法院,天候或自然災害,
,,,,,,,
臺灣高等法院 臺中分院 103 年度建上字第 65 號民事判決,是,是,嘉義,漏項,高等法院,工期約定,公告金額
臺灣高等法院臺中分院民事判決106年度建上字第50號,否,是,嘉義,工期展延,高等法院,工期約定,查核金額
,,,,,,,
臺灣高等法院 104 年建上字第 67 號民事判決,否,是,彰化,變更設計,高等法院,變更設計,查核金額
臺灣臺北地方法院 102 年建字第 240 號民事判決,否,是,臺北,工期展延,地方法院,工期約定,巨額採購
臺灣彰化地方法院 101 年重訴字第 126 號民事判決,是,是,彰化,工期展延,地方法院,工期約定,公告金額
臺灣基隆地方法院 101 年建字第 7 號民事判決,否,是,基隆,工期展延,地方法院,工期約定,查核金額
臺灣臺北地方法院 99 年建字第 131 號民事判決,否,是,屏東,工期展延,地方法院,工期約定,公告金額
臺灣高等法院 臺南分院 96 年建上字第 10 號民事判決,否,是,嘉義,物價波動,高等法院,物價,公告金額
臺灣臺北地方法院 92 年建字第 174 號民事判決,否,否,花蓮,工期展延,地方法院,工期約定,
臺灣嘉義地方法院 94 年建字第 14 號民事判決,否,是,嘉義,物價波動,地方法院,物價,公告金額
臺灣臺中地方法院 103 年度建字第 77 號民事判決,否,是,臺中,物價波動,地方法院,物價,巨額採購
臺灣臺中地方法院 101 年建字第 22 號民事判決,是,是,臺中,物價波動,地方法院,物價,巨額採購
臺灣臺中地方法院 99 年建字第 39 號民事判決,否,是,臺中,工期展延,地方法院,物價,查核金額
臺灣臺中地方法院 97 年建字第 114 號民事判決,是,是,臺中,物價波動,地方法院,物價,巨額採購
臺灣臺中地方法院 96 年建字第 44 號民事判決,否,是,臺中,工期展延,地方法院,物價,巨額採購
臺灣臺中地方法院 96 年建字第 122 號民事判決,,是,,,,,
臺灣臺中地方法院 105 年建字第 56 號民事判決,,是,,,,,
臺灣臺中地方法院 97 年建字第 193 號民事判決,,是,,,,,
臺灣臺中地方法院 103 年建字第 78 號民事判,,是,,,,,
臺灣高等法院高雄分院民事判決111年度建上字第30號,,否,,,,,
臺灣高等法院臺中分院民事判決106年度建上更㈠字第63號,,否,,,,,
臺灣高等法院 臺南分院 106 年建上字第 4 號民事判決,,否,,,,,
臺灣基隆地方法院 105 年建字第 29 號民事判決,,否,,,,,
臺灣彰化地方法院 104 年建字第 22 號民事判決,,否,,,,,
臺灣高等法院 臺中分院 104 年建上字第 30 號民事判決,,否,,,,,
臺灣花蓮地方法院 104 年建字第 16 號民事判決,,是,,,,,
臺灣高等法院 臺南分院 105 年建上字第 11 號民事判決,,是,,,,,
